bimo0001587748,Hugo de Montreux melodrama en cuatro actos,,,
bimo0001587848,Flor de los Pazos comedia en dos actos,,,
bimo0001587958,El buen demonio comedia en dos actos,,,
bimo0001587961,Bolita de añil novela madrileña,,,
bimo0001588026,Lady Godiva leyenda histórica en cuatro jornadas,,,
bimo0001588150,Añoranzas comedia en tres actos,,,
bimo0001588174,La confesión de un crimen novela,,,
bimo0001591126,La cabra tira al monte,,,
bimo0001591130,El capitán de los charros episodio,,,
bimo0001591131,Carne y alma novela...,,,
bimo0001594375,La obra : novela parisiense,,,
bimo0001594603,El alcalde Ronquillo o El diablo en Valladolid : drama en cinco actos,,,
bimo0001594627,Dios,,,
bimo0001594671,El drama del alma algo sobre México y Maximiliano : poesía en dos partes con notas en prosa y comentarios de un loco,,,
bimo0001594672,El drama del alma algo sobre México y Maximiliano : poesía en dos partes con notas en prosa y comentarios de un loco,,,
bimo0001594673,El drama del alma algo sobre Méjico y Maximiliano : poesía en dos partes con notas en prosa y comentarios de un loco,,,
bimo0001594677,Entre clérigos y diablos : partida en tres jugadas puesta en acción,,,
bimo0001596677,Alma de santa,,,
bimo0001596721,Don Oliverio XXIV de Bombón,,,
bimo0001596901,A todo honor,,,
bimo0001596933,Una Eva moderna,,,
bimo0001630770,Apuntes biográficos de escritores segovianos,,,
bimo0001639803,La Isla de Bilirán (Filipinas) y sus azufrales,,,
bimo0001640203,Influencia de la vida del campo en la familia,,,
bimo0001640205,Lecturas instructivas para los niños páginas de la naturaleza ...,,,
bimo0001640211,La siesta : colección de artículos,,,
bimo0001640503,Tratado de urbanidad para niños,,,
bimo0001640513,La abeja infantil,,,
bimo0001640529,Rudimentos de prosodia y nociones de ortografía,,,
bimo0001640621,Lecciones de literatura preceptiva que sirven de texto en los conventos capuchinos de la provincia Bética,,,
bimo0001640880,Amores y amoríos historietas en prosa y verso,,,
bimo0001640886,De Madrid a Nápoles,,,
bimo0001640895,Historietas nacionales,,,
bimo0001640914,El Cristo de Torrelavega,,,
bimo0001641915,El Código civil en sus relaciones con las legislaciones forales,,,
bimo0001641922,"Discurso leído por el Excmo. Sr. D. Manuel Alonso Martínez, Ministro de Gracia y Justicia, en la solemne apertura de los tribunales, celebrada en 15 de setiembre de 1881",,,
bimo0001641928,"Observaciones que el licenciado Alonso Martínez, como representante de Juan M. Manzanedo, en el pleito con la Administración General del Estado sobre inteligencia y cumplimiento de los contratos celebrados el 21 de julio y 14 de agosto de 1857 para el surtido de tabacos, somete a la ilustración del Consejo acerca del informe, certificaciones y demás documentos remitidos por el Excelentísimo Sr. Ministro de Hacienda",,,
bimo0001641974,"Discurso leído en la Sociedad Ginecológica Española en la sesión inaugural del año académico de 1890 a 91, celebrada el día 10 de diciembre de 1890",,,
bimo0000904507,"D. Perrondo y Masalegre historia que, siendo falsa, tiene mucho de verdadera como verá el que la leyere",,,
bimo0000904508,"La democracia, el socialismo y el comunismo, según la filosofía y la historia",,,
bimo0000904509,Desde mi campo neutral,,,
bimo0000904510,"Discursos íntegros como tomados del ""Diario de las Sesiones"" pronunciados por D. Eugenio García Ruiz, director de El Pueblo, en los días 7 y 9 de julio de 1873",,,
bimo0000904511,Dios y el hombre,,,
bimo0000904514,La intolerancia religiosa y los hombres de la Escuela absolutista,,,
bimo0000904515,Los neos,,,
bimo0000904516,"Apuntes referentes a la teoría e historia de la caligrafía, distribuida en lecciones para las escuelas normales",,,
bimo0000904520,Los siete artículos capitales o sea la democracia gobernando,,,
bimo0000913039,Historia de la Internacional y del federalismo en España,,,
bimo0001386532,Historia de la campaña de 1647 en Flandes siendo Gobernador General de aquellos países por España el Archiduque Leopoldo,,,
bimo0001633300,El rayo que no cesa,,,
bimo0000942245,El gato en la ratonera zarzuela en un acto y en prosa,,,
bimo0001175301,Elementos de derecho natural : apuntes publicados para facilitar su estudio,,,
bimo0001642459,Discurso pronunciado por Don José Amador de los Ríos en la solemne investidura del grado de doctor en letras,,,
bimo0000889588,Oda a S.M. la Reina Doña Isabel II en su viaje a Galicia,,,
bimo0001650952,"Oda sáfica a la real jura de la Serenísima Señora Princesa de Asturias, Doña Isabel Luisa de Borbón",,,
bimo0001651933,La despedida del caudillo : romance dedicado a SS. MM. y leído por el autor en la Real Cámara en la noche del 6 de diciembre de 1859,,,
bimo0001383893,La alegación del estudiante y El testamento profesional : dos discursos del doctor Carracido,,,
bima0000039932,"Real decreto para el establecimiento del sistema general de Hacienda, Instruccion para el repartimiento y cobranza de la contribucion del reino y bulas dadas por ... Pio VII en Roma a 15, 16, 17 y 18 de abril de 1817",,,
bimo0000920291,Principios del Derecho natural : sumariamente expuestos,,,
bimo0001264275,Lecciones sobre el sistema de filosofía panteística del alemán Krause : pronunciadas en la Armonía (Sociedad Literario-Católica),,,
bimo0001264279,El racionalismo y la humildad,,,
bimo0001571174,Vasco da Gama y el descubrimiento de Oceanía apuntes histórico-geográficos,,,
bimo0001572992,"Los congresos científicos de Chalons, Berna, París, Lisboa y Argel",,,
bimo0000942882,El primer año de matrimonio : cartas a Julia,,,
bimo0000949278,Poesías de D. José Güell y Renté,,,
bimo0000955796,En pro y en contra : (críticas),,,
bimo0000955820,"Siluetas : con retratos y autógrafos de Revilla, Campoamor, Palacio Valdés ...",,,
bimo0000979386,Eco de Madrid o sea Curso práctico de la buena conversación española,,,
bimo0000979418,Calderón de la Barca,,,
bimo0000980777,"Discurso de D. Joaquín Hazañas leído en la Junta General de Conferencias de Caballeros de Sevilla el día 10 de Abril de 1910, Dominica del Buen Pastor",,,
bimo0000980778,Discurso leído en la Universidad Literaria de Sevilla con motivo de la inauguración solemne del curso académico de 1907 a 1908,,,
bimo0000980781,Historia de Sevilla : curso breve en diez lecciones explicadas en la Academia de Estudios Sevillanos,,,
bimo0000980784,Maese Rodrigo : 1444-1509,,,
bimo0000980791,"Noticia de las academias literarias, artísticas y científicas de los siglos XVII y XVIII",,,
bimo0001005903,A flor de piel (Novela),,,
bimo0001005905,América (El Libro de los Orígenes),,,
bimo0001005913,El banquete del minotauro novela,,,
bimo0001005914,Bestezuela de amor,,,
bimo0001005916,Los Cascabeles de Madama Locura Novelas,,,
bimo0001005920,¡Comunismo! : Novela. El comunismo visto a través de los bajos fondos madrileños,,,
bimo0001005926,La curva peligrosa Novela,,,
bimo0001005927,La decadencia Los emigrantes (Novela),,,
bimo0001005928,Del huerto del pecado Cuentos,,,
bimo0001005932,La dolorosa pasión Novela,,,
bimo0001005936,Frivolidad (Novela),,,
bimo0001005938,Las Hetairas Sabias Novela,,,
bimo0001005943,El hombre que vendió su cuerpo al diablo : Novela,,,
bimo0001005944,La hora española ensayos,,,
bimo0001005946,El horror de morir : novela,,,
bimo0001005956,El mónstruo Novela,,,
